"id";"lavNumber";"name";"type";"result";"locality";"distanceM";"officialName";"candidateCount";"nameScore";"gapM";"reason"
"6-410-02-warmsdorfer-teich";"6-410-02";"Warmsdorfer Teich";"Teich";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-410-06-salzteich-bei-loderburg";"6-410-06";"Salzteich bei Löderburg";"Teich";"review";"Löderburg";"220.1";"Kreuzteich";"3";"0.000";"186.4";"Neuer Ortsanker 'Löderburg' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
"6-410-07-lache-bei-hohenerxleben";"6-410-07";"Lache bei Hohenerxleben";"See";"review";"Hohenerxleben";"495.6";"Gänselache";"1";"0.000";"9999.0";"Neuer Ortsanker 'Hohenerxleben' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
"6-410-18-steinbruch-borne";"6-410-18";"Steinbruch Borne";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-410-22-regenruckhaltebecken-am";"6-410-22";"Regenrückhaltebecken am";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-410-24-loderburger-weiher";"6-410-24";"Löderburger Weiher";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-411-02-loderburger-see";"6-411-02";"Löderburger See";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-411-04-athenslebener-seen-lsg-beachten";"6-411-04";"Athenslebener Seen – LSG beachten";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-120-01-alte-mulde-bei-rosa";"7-120-01";"Alte Mulde bei Rösa";"Fließgewässer";"review";"Rösa";"0.6";"";"8";"0.000";"136.6";"Neuer Ortsanker 'Rösa' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
"7-120-05-kurr-pouch";"7-120-05";"Kurr Pouch";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
