"id";"lavNumber";"name";"type";"status";"latitude";"longitude";"osmConfidence";"officialDistanceM";"officialName";"officialFeatureId";"officialType";"officialCandidateCount";"nameScore";"distanceGapM";"reason"
"10-290-06-parkteich-in-braunsbedra";"10-290-06";"Parkteich in Braunsbedra";"Teich";"review";"51.2887039";"11.8746476";"0.79";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"10-290-08-dorfteich-zollschen";"10-290-08";"Dorfteich Zöllschen";"Teich";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-290-09-groes-kohlenloch-bei-tollwitz";"10-290-09";"Großes Kohlenloch bei Tollwitz";"See";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-290-10-kleines-kohlenloch-bei-tollwitz";"10-290-10";"Kleines Kohlenloch bei Tollwitz";"See";"review";"51.2783797";"12.1074995";"0.895";"9.8";"";"StandingWater_DESTGEOT00004vk8";"StandingWater";"4";"0";"25.5";"Amtliches Wasserobjekt vorhanden, Abstand/Name aber nicht eindeutig genug."
"10-290-11-pfutze-bei-tollwitz";"10-290-11";"Pfütze bei Tollwitz";"See";"review";"51.2783797";"12.1074995";"0.895";"9.8";"";"StandingWater_DESTGEOT00004vk8";"StandingWater";"4";"0";"25.5";"Amtliches Wasserobjekt vorhanden, Abstand/Name aber nicht eindeutig genug."
"10-290-13-saale-leipzig-kanal";"10-290-13";"Saale-Leipzig-Kanal";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-290-14-saale-im-altkreis-merseburg";"10-290-14";"Saale im Altkreis Merseburg";"Fließgewässer";"review";"51.3592592";"12.0032226";"0.844";"0.3";"";"Watercourse_DESTGEOT00004yBh_pol";"Watercourse";"13";"0";"8.2";"Amtliches Wasserobjekt vorhanden, Abstand/Name aber nicht eindeutig genug."
"10-290-16-kanal-wusteneutsch-km-1-32-1-62";"10-290-16";"Kanal Wüsteneutsch km 1, 32 - 1, 62";"Fließgewässer";"review";"51.5180425";"12.0827055";"0.758";"360.6";"";"Watercourse_DESTGEOT00004FSz_lin";"Watercourse";"1";"0";"9999";"Amtliches Wasserobjekt vorhanden, Abstand/Name aber nicht eindeutig genug."
"10-290-17-schenkteich-in-zweimen";"10-290-17";"Schenkteich in Zweimen";"Teich";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-290-18-hirtenteich-in-zweimen";"10-290-18";"Hirtenteich in Zweimen";"Teich";"review";"51.3546752";"12.1372834";"0.885";"168.4";"";"StandingWater_DESTGEOT00004y4S";"StandingWater";"1";"0";"9999";"Amtliches Wasserobjekt vorhanden, Abstand/Name aber nicht eindeutig genug."
"10-290-20-kuhteich-feldsee-bei-wallendorf";"10-290-20";"Kuhteich (Feldsee) bei Wallendorf";"Teich";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
