"id";"lavNumber";"name";"type";"result";"anchor";"anchorRule";"distanceM";"officialName";"candidateCount";"nameScore";"gapM";"reason"
"7-120-10-ehemalige-kiesgrube-sandersdorf";"7-120-10";"ehemalige Kiesgrube Sandersdorf";"Kiesgrube";"review";"Sandersdorf";"suffix1";"64.9";"Förstergrube";"7";"0.000";"189.0";"v11-Ortsanker 'Sandersdorf' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-120-11-ehemaliges-schwimmbad-raguhn";"7-120-11";"ehemaliges Schwimmbad Raguhn";"See";"review";"Raguhn";"suffix1";"266.9";"";"8";"0.000";"50.9";"v11-Ortsanker 'Raguhn' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-120-14-leipziger-teich-zorbig";"7-120-14";"Leipziger Teich Zörbig";"Teich";"review";"Teich Zörbig";"suffix2";"74.8";"Cösitzer Teich";"3";"0.250";"100.2";"v11-Ortsanker 'Teich Zörbig' (suffix2) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-120-19-lober-leine-kanal";"7-120-19";"Lober-Leine-Kanal";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-120-21-mulde-v-landesgr-sachsen-bis-stausee";"7-120-21";"Mulde v. Landesgr. Sachsen bis Stausee,";"Fließgewässer";"review";"Stausee";"bis";"107.9";"";"9";"0.000";"78.8";"v11-Ortsanker 'Stausee' (bis) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-120-22-mulde-von-ca-750m-oberhalb-wehr";"7-120-22";"Mulde von ca. 750m oberhalb Wehr";"Fließgewässer";"review";"oberhalb";"suffix2";"2.3";"";"27";"0.000";"119.8";"v11-Ortsanker 'oberhalb' (suffix2) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-120-26-pappelloch-rosa";"7-120-26";"Pappelloch Rösa";"See";"review";"Rösa";"suffix1";"312.6";"";"4";"0.000";"100.4";"v11-Ortsanker 'Rösa' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-120-29-tagebaurestloch-kockern";"7-120-29";"Tagebaurestloch Köckern";"Kiesgrube";"review";"Köckern";"suffix1";"747.8";"";"2";"0.000";"191.9";"v11-Ortsanker 'Köckern' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-120-32-luthers-linde-muldenstein";"7-120-32";"Luthers Linde Muldenstein";"Fließgewässer";"review";"Muldenstein";"suffix1";"33.6";"";"4";"0.000";"652.1";"v11-Ortsanker 'Muldenstein' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-120-38-geerensee-friedersdorf";"7-120-38";"Geerensee Friedersdorf";"See";"review";"Friedersdorf";"suffix1";"283.5";"";"4";"0.000";"100.6";"v11-Ortsanker 'Friedersdorf' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
