"id";"lavNumber";"name";"district";"status";"confidence";"method";"latitude";"longitude";"locality";"candidateName";"distanceKm";"candidateAreaHa"
"7-273-21-dorfteich-gnetsch";"7-273-21";"Dorfteich Gnetsch";"Anhalt-Bitterfeld";"review";"0.816";"locality-water-review";"51.6786012";"12.0797739";"Gnetsch";"";"0.76";""
"7-273-22-fischteich-gnetsch";"7-273-22";"Fischteich Gnetsch";"Anhalt-Bitterfeld";"review";"0.816";"locality-water-review";"51.6786012";"12.0797739";"Gnetsch";"";"0.76";""
"7-273-23-kiessandtagebau-gnetsch-riesdorf";"7-273-23";"Kiessandtagebau Gnetsch/Riesdorf";"Anhalt-Bitterfeld";"review";"0.816";"locality-water-review";"51.6786012";"12.0797739";"Gnetsch/Riesdorf";"";"0.76";""
"7-273-24-gutsteich-gorzig";"7-273-24";"Gutsteich Görzig";"Anhalt-Bitterfeld";"review";"0.815";"locality-water-review";"51.6602206";"12.0017972";"Görzig";"";"0.76";""
"7-273-25-molkereiteich-maasdorf";"7-273-25";"Molkereiteich Maasdorf";"Anhalt-Bitterfeld";"review";"0.897";"locality-water-review";"51.6821731";"11.9623991";"Maasdorf";"";"0.26";""
"7-275-00-ackermannsteich-elsnigk";"7-275-00";"Ackermannsteich Elsnigk";"Anhalt-Bitterfeld";"review";"0.898";"locality-water-review";"51.785869";"12.0570474";"Elsnigk";"";"0.25";""
"7-275-01-grubenteich-bei-osternienburg";"7-275-01";"Grubenteich bei Osternienburg";"Anhalt-Bitterfeld";"unmatched";"";"";"";"";"Osternienburg";"";"";""
"7-275-02-kleine-sandfurchen-bei-osternienburg";"7-275-02";"Kleine Sandfürchen bei Osternienburg";"Anhalt-Bitterfeld";"unmatched";"";"";"";"";"Osternienburg";"";"";""
"7-275-03-bruckmannsteich-und-pumpenteich-bei";"7-275-03";"Brückmannsteich und Pumpenteich bei";"Anhalt-Bitterfeld";"review";"0.92";"locality-water-review";"51.8733238";"12.0764048";"bei";"";"0.12";""
"7-275-04-groe-sandfurchen-bei-osternienburg";"7-275-04";"Große Sandfürchen bei Osternienburg";"Anhalt-Bitterfeld";"review";"0.791";"locality-water-review";"51.7927009";"12.0425874";"Osternienburg";"";"0.91";""
"7-275-05-lochmannsteich-bei-osternienburg";"7-275-05";"Lochmannsteich bei Osternienburg";"Anhalt-Bitterfeld";"review";"0.791";"locality-water-review";"51.7927009";"12.0425874";"Osternienburg";"";"0.91";""
