V28 – 1000 m / complete-name >=60% matching
Base: visually confirmed V22.

Rule:
1. Angelatlas/LAV reference point.
2. Search named natural=water OSM Ways within max. 1000 m.
3. Compare COMPLETE normalized LAV and OSM names.
4. Do NOT remove See/Teich/Kiesgrube/etc.
5. Similarity must be >=60%.
6. Exactly ONE qualifying OSM Way is required.
7. Marker is taken from that exact OSM Way geometry in the local PBF.
8. Multiple >=60% candidates are deliberately NOT added.

Unique matches written: 186
Ambiguous cases not written: 14

blaues auge bei reinharz -> Blaues Auge | way 95794348 | 208 m | similarity 62.9% | marker 51.6985608,12.7088246
falkenwaiden bei wartenburg -> Falkenweiden - Bleddiner Riß | way 1203052648 | 81 m | similarity 65.4% | marker 51.8090128,12.8048286
schluft priesitz -> Schluft | way 182180734 | 543 m | similarity 60.9% | marker 51.7069005,12.8378897
blumenwinkel bei seegrehna -> Blumenwinkel | way 303858344 | 450 m | similarity 63.2% | marker 51.8535694,12.5673424
tonteich bülzig -> Tonteich | way 53379426 | 92 m | similarity 69.6% | marker 51.8903987,12.7697490
alte badeanstalt kemberg -> alte Badeanstalt | way 46177199 | 363 m | similarity 80.0% | marker 51.7718144,12.6256281
großen lache bei pratau -> Große Lache | way 59712705 | 139 m | similarity 62.5% | marker 51.8496858,12.6639640
kleinwasserspeicher ziegelrode -> Speicher Ziegelrode | way 30373573 | 466 m | similarity 77.6% | marker 51.5532742,11.4449467
schäferteich in stedten -> Schäferteich | way 286077015 | 433 m | similarity 68.6% | marker 51.4427560,11.6845099
rüdels teich bei helfta -> Rüdels Teich | way 148959667 | 422 m | similarity 68.6% | marker 51.5240807,11.5612255
ölgrundteich bei hettstedt -> Ölgrundteich | way 110540106 | 358 m | similarity 63.2% | marker 51.6672913,11.5049040
mansfelder teich -> Mansfelder Teich | way 30280722 | 175 m | similarity 100.0% | marker 51.5814909,11.4316951
melmensee bei tilleda -> Melmensee | way 220947062 | 235 m | similarity 60.0% | marker 51.4083964,11.1723791
schloßteich rottleberode -> Schloßteich | way 24850238 | 553 m | similarity 60.6% | marker 51.5183732,10.9457337
neue kiesgrube berga -> Alte Kiesgrube | way 4598629 | 575 m | similarity 64.7% | marker 51.4481849,11.0198583
kunstteich bei wettelrode -> Kunstteich (Speicher Wettelrode) | way 35080943 | 282 m | similarity 87.3% | marker 51.5222607,11.2645376
alte kiesgrube berga -> Alte Kiesgrube | way 4598629 | 166 m | similarity 82.4% | marker 51.4481849,11.0198583
alte kiesgrube katharinenrieth -> Alte Kiesgrube Katharinenrieth | way 304500267 | 256 m | similarity 100.0% | marker 51.3975833,11.3317126
stausee kelbra -> Stausee Kelbra | way 4598627 | 404 m | similarity 100.0% | marker 51.4320551,11.0213153
